Row,Time,Temperature1(Temperature:Thermocouple),Temperature2(Temperature:Thermocouple),Temperature3(Temperature:Thermocouple),Temperature4(Temperature:Thermocouple),Temperature5(Temperature:Thermocouple),Temperature6(Temperature:Thermocouple),Temperature7(Temperature:Thermocouple),Temperature8(Temperature:Thermocouple),Temperature9(Temperature:Thermocouple),Temperature10(Temperature:Thermocouple),Temperature11(Temperature:Thermocouple),Temperature12(Temperature:Thermocouple),Temperature13(Temperature:Thermocouple),Temperature14(Temperature:Thermocouple),Temperature15(Temperature:Thermocouple),Temperature16(Temperature:Thermocouple),Temperature17(Temperature:Thermocouple),Temperature18(Temperature:Thermocouple),Temperature19(Temperature:Thermocouple),Temperature20(Temperature:Thermocouple),Temperature21(Temperature:Thermocouple),Temperature22(Temperature:Thermocouple),Temperature23(Temperature:Thermocouple),Temperature24(Temperature:Thermocouple),Temperature25(Temperature:Thermocouple),Temperature26(Temperature:Thermocouple),Temperature27(Temperature:Thermocouple),Temperature28(Temperature:Thermocouple),Temperature29(Temperature:Thermocouple),Temperature30(Temperature:Thermocouple),Temperature31(Temperature:Thermocouple),Temperature32(Temperature:Thermocouple),Temperature33(Temperature:Thermocouple),Temperature34(Temperature:Thermocouple),Temperature35(Temperature:Thermocouple),Temperature36(Temperature:Thermocouple),Temperature37(Temperature:Thermocouple),Temperature38(Temperature:Thermocouple),Temperature39(Temperature:Thermocouple),Temperature40(Temperature:Thermocouple),Temperature41(Temperature:Thermocouple),Temperature42(Temperature:Thermocouple),Temperature43(Temperature:Thermocouple),Temperature44(Temperature:Thermocouple),Temperature45(Temperature:Thermocouple),Temperature46(Temperature:Thermocouple),Temperature47(Temperature:Thermocouple),Temperature48(Temperature:Thermocouple),Temperature49(Temperature:Thermocouple),Temperature50(Temperature:Thermocouple),Temperature51(Temperature:Thermocouple),Temperature52(Temperature:Thermocouple),Temperature53(Temperature:Thermocouple),Temperature54(Temperature:Thermocouple),Temperature55(Temperature:Thermocouple),Temperature56(Temperature:Thermocouple),Temperature57(Temperature:Thermocouple),Temperature58(Temperature:Thermocouple),Temperature59(Temperature:Thermocouple),Temperature60(Temperature:Thermocouple),Temperature61(Temperature:Thermocouple),Temperature62(Temperature:Thermocouple),Temperature63(Temperature:Thermocouple),Temperature64(Temperature:Thermocouple),Temperature65(Temperature:Thermocouple),Temperature66(Temperature:Thermocouple),Temperature67(Temperature:Thermocouple),Temperature68(Temperature:Thermocouple),Temperature69(Temperature:Thermocouple),Temperature70(Temperature:Thermocouple),Temperature71(Temperature:Thermocouple),Temperature72(Temperature:Thermocouple),Temperature73(Temperature:Thermocouple),Temperature74(Temperature:Thermocouple),Temperature75(Temperature:Thermocouple),Temperature76(Temperature:Thermocouple),Temperature77(Temperature:Thermocouple),Temperature78(Temperature:Thermocouple),Temperature79(Temperature:Thermocouple),Temperature80(Temperature:Thermocouple),Temperature81(Temperature:Thermocouple),Temperature82(Temperature:Thermocouple),Temperature83(Temperature:Thermocouple),Temperature84(Temperature:Thermocouple),Temperature85(Temperature:Thermocouple),Temperature86(Temperature:Thermocouple),Temperature87(Temperature:Thermocouple),Temperature88(Temperature:Thermocouple),Temperature89(Temperature:Thermocouple),Temperature90(Temperature:Thermocouple),Temperature91(Temperature:Thermocouple),Temperature92(Temperature:Thermocouple),Temperature93(Temperature:Thermocouple),Temperature94(Temperature:Thermocouple),Temperature95(Temperature:Thermocouple),Temperature96(Temperature:Thermocouple),Temperature97(Temperature:Thermocouple),Temperature98(Temperature:Thermocouple),Temperature99(Temperature:Thermocouple),Temperature100(Temperature:Thermocouple),Temperature101(Temperature:Thermocouple),Temperature102(Temperature:Thermocouple),Temperature103(Temperature:Thermocouple),Temperature104(Temperature:Thermocouple),Temperature105(Temperature:Thermocouple),Temperature106(Temperature:Thermocouple),Temperature107(Temperature:Thermocouple),Temperature108(Temperature:Thermocouple),Temperature109(Temperature:Thermocouple),Temperature110(Temperature:Thermocouple),Temperature111(Temperature:Thermocouple),Temperature112(Temperature:Thermocouple),Temperature113(Temperature:Thermocouple),Temperature114(Temperature:Thermocouple),Temperature115(Temperature:Thermocouple),Temperature116(Temperature:Thermocouple),Temperature117(Temperature:Thermocouple),Temperature118(Temperature:Thermocouple),Temperature119(Temperature:Thermocouple),Temperature120(Temperature:Thermocouple)
:59.296,29.8556,30.1466,30.2527,30.3506,30.5541,30.0206,30.2409,30.2397,30.4889,30.5579,29.8902,30.0037,30.2352,30.6064,30.7211,29.861,30.2187,30.5281,30.3914,30.4637,29.9907,30.3391,30.3617,30.5358,30.7672,29.741,30.304,30.341,30.3669,30.5127,30.0344,30.25,30.4582,30.7426,30.6686,29.9055,30.2185,30.5665,30.5446,30.7018,29.8837,30.2238,30.6336,30.6997,30.6057,30.0072,30.3114,30.4615,30.5499,30.785,29.763,30.2708,30.6314,31.6075,30.975,30.2117,30.3047,30.3695,30.6544,30.5994,29.9249,30.1049,30.1662,30.4754,30.6844,29.9511,30.1125,29.8429,30.4903,30.7285,30.0972,30.2725,30.469,30.6157,30.755,29.8981,30.0052,30.1371,30.5183,30.8174,29.8702,30.1656,30.2302,30.3962,30.7312,29.8702,30.0229,30.2356,30.4481,30.8078,29.733,30.1553,30.3463,30.447,30.7358,29.874,30.261,30.3482,30.5218,30.7094,29.936,30.2488,30.4009,30.416,30.9245,30.0716,30.404,30.3773,30.619,30.7638,30.0494,30.1364,30.544,30.5023,30.6952,29.908,30.2636,30.423,30.6346,30.6327,30.0472
2,7:53:19 AM,29.8547,30.1901,30.2703,30.3793,30.6013,30.0271,30.2399,30.2499,30.5213,30.5792,29.9078,30.0325,30.2528,30.598,30.7054,29.8786,30.2548,30.5716,30.4349,30.5072,30.0083,30.3234,30.4348,30.6904,30.7959,29.7357,30.3321,30.3469,30.3728,30.5297,30.0403,30.2484,30.4603,30.7299,30.6597,29.8817,30.2207,30.5501,30.569,30.7003,29.8933,30.2779,30.6579,30.7278,30.6227,30.0094,30.3506,30.5081,30.5928,30.7946,29.7673,30.2974,30.6394,31.6487,30.9904,30.2382,30.3164,30.3923,30.6735,30.7148,29.9589,30.1389,30.2002,30.5019,30.7813,29.9924,30.165,29.8769,30.4872,30.7328,30.1422,30.2842,30.4882,30.6237,30.7334,29.8715,29.9861,30.1142,30.5102,30.8316,29.8659,30.2095,30.237,30.3919,30.7047,29.8807,30.0186,30.2609,30.4846,30.7295,29.7361,30.1287,30.3642,30.4316,30.7018,29.8623,30.2604,30.3253,30.5212,30.6644,29.9419,30.2769,30.4068,30.4292,30.8452,30.0293,30.4099,30.4424,30.6064,30.7437,30.1664,30.1608,30.5942,30.523,30.7122,29.9546,30.2843,30.5029,30.6775,30.6459
3,7:53:39 AM,29.8754,30.2145,30.3095,30.3926,30.6405,30.0329,30.2606,30.2742,30.5716,30.6258,29.9062,30.0754,30.3402,30.7002,30.7224,29.8919,30.2977,30.6071,30.4482,30.5427,29.9956,30.2922,30.3555,30.6592,30.8388,29.758,30.3543,30.358,30.3987,30.5334,30.0551,30.2744,30.4788,30.8336,30.7115,29.8891,30.2429,30.5983,30.6393,30.7817,29.897,30.3149,30.7135,30.7685,30.6635,30.0094,30.3469,30.4933,30.5817,30.8094,29.7954,30.4663,30.8858,31.6694,30.9889,30.3404,30.3297,30.4871,30.9645,31.061,30.0204,30.1596,30.2172,30.5152,30.8537,29.9983,30.156,29.9013,30.5079,30.7646,30.1629,30.2901,30.5311,30.6296,30.7392,29.9129,29.9904,30.1408,30.5183,30.8359,29.8998,30.1841,30.2487,30.4407,30.6794,29.9926,30.0674,30.2689,30.5333,30.7967,29.8295,30.1516,30.4537,30.4914,30.7284,29.8815,30.2943,30.363,30.5255,30.7576,29.9388,30.2998,30.4444,30.4595,30.9162,30.1966,30.4475,30.4504,30.7514,30.7554,30.0818,30.2059,30.5986,30.594,30.7387,30.0405,30.3108,30.5813,30.6781,30.7058
4,7:53:59 AM,29.8738,30.2241,30.3154,30.4021,30.6538,30.0203,30.2739,30.3097,30.5923,30.6206,29.9232,30.0961,30.3572,30.7171,30.7763,29.8978,30.2739,30.5981,30.4837,30.5967,29.9978,30.3018,30.3354,30.7169,30.8224,29.783,30.3719,30.4052,30.4237,30.5547,30.0542,30.266,30.5112,30.8734,30.7772,29.8956,30.2494,30.6344,30.668,30.7697,29.9072,30.3177,30.6718,30.8157,30.6884,30.0196,30.3423,30.5331,30.6289,30.8011,29.7939,30.3647,30.751,31.6641,31.0096,30.2981,30.3467,30.4522,30.7667,30.8523,29.978,30.1655,30.249,30.5507,30.7078,29.9894,30.1248,29.8961,30.5545,30.7778,30.1725,30.2774,30.5444,30.6428,30.8154,29.9484,30.0407,30.1726,30.5612,30.8566,29.9057,30.2048,30.2954,30.4836,30.7112,29.9651,30.0807,30.2896,30.591,30.8322,29.7982,30.1723,30.4559,30.5306,30.7416,29.9059,30.2891,30.4096,30.6018,30.8449,30.0336,30.3241,30.4651,30.5283,30.9295,30.2247,30.4534,30.4822,30.7647,30.8057,30.1581,30.2044,30.6303,30.6258,30.7705,30.0019,30.3315,30.5538,30.7395,30.7228
5,7:54:19 AM,29.8664,30.213,30.3265,30.4206,30.6501,30.024,30.2257,30.2949,30.6034,30.6095,29.9121,30.0887,30.3127,30.7282,30.7912,29.9052,30.285,30.5685,30.4948,30.5967,29.9941,30.3203,30.4021,30.7725,30.8558,29.7836,30.391,30.428,30.428,30.5701,30.0585,30.2741,30.5341,30.8888,30.7853,29.9148,30.2685,30.6053,30.7168,30.8369,29.9226,30.3183,30.6354,30.8533,30.6928,30.0387,30.3614,30.556,30.6739,30.7832,29.8168,30.2726,30.7887,31.6869,31.0398,30.2506,30.3584,30.4751,30.7822,30.827,29.9712,30.1809,30.2644,30.555,30.7492,30.0011,30.1106,29.9412,30.5589,30.8081,30.1583,30.2966,30.545,30.6583,30.7753,29.949,30.0265,30.1806,30.5988,30.8609,29.9063,30.2239,30.3034,30.5212,30.7266,29.9286,30.1073,30.3236,30.6139,30.7995,29.7951,30.184,30.475,30.5016,30.7311,29.9287,30.3193,30.4695,30.6246,30.7529,29.9669,30.313,30.4799,30.4913,30.885,30.1802,30.4534,30.4933,30.7388,30.8094,30.1507,30.2747,30.7599,30.6036,30.7816,30.0316,30.3315,30.5612,30.7432,30.7783
6,7:54:39 AM,29.8862,30.2142,30.3685,30.4589,30.6809,30.04,30.1862,30.311,30.638,30.6366,29.9541,30.1381,30.3288,30.7443,30.785,29.9324,30.3529,30.5771,30.522,30.6053,30.0769,30.34,30.4293,30.7737,30.8718,29.7815,30.3926,30.3999,30.4333,30.5717,30.0489,30.283,30.5393,30.8792,30.7572,29.9015,30.3071,30.5921,30.722,30.8237,29.939,30.3643,30.6555,30.8697,30.698,30.044,30.3704,30.5649,30.6866,30.7773,29.81,30.2844,30.9188,31.7393,31.0589,30.2586,30.3665,30.4535,30.8087,31.2825,30.0386,30.2445,30.2947,30.6445,30.7646,30.0388,30.2039,29.9715,30.6187,30.8124,30.1775,30.3269,30.6308,30.6737,30.7796,29.9073,29.9959,30.1982,30.6016,30.8933,30.0166,30.2823,30.3061,30.524,30.7294,30.2093,30.1767,30.3597,30.6315,30.891,29.8202,30.2127,30.5777,30.5451,30.7117,29.9649,30.3629,30.4537,30.6718,30.7594,29.9469,30.3041,30.5006,30.5193,30.9575,30.2639,30.4778,30.5103,30.8261,30.8301,30.2121,30.2991,30.7584,30.6502,30.7948,30.0411,30.3559,30.6226,30.7712,30.7397
7,7:54:59 AM,29.8936,30.2476,30.387,30.47,30.6772,30.0438,30.2269,30.3221,30.6491,30.6588,29.9615,30.1418,30.3584,30.785,30.785,29.9361,30.3492,30.5808,30.5479,30.609,30.0694,30.3363,30.3848,30.7107,30.8755,29.8087,30.4234,30.4493,30.4604,30.6026,30.0724,30.3028,30.5665,30.8694,30.8288,29.9472,30.301,30.5822,30.764,30.8471,30.0218,30.3841,30.6789,30.9227,30.7807,30.0675,30.4161,30.5958,30.6952,30.7934,29.8455,30.2569,31.0911,31.7304,31.0685,30.3053,30.4242,30.5001,30.9146,30.9297,29.9963,30.2763,30.308,30.6318,30.8445,30.0521,30.1987,30.033,30.6172,30.8479,30.1796,30.3772,30.6441,30.6833,30.7855,29.9858,30.0225,30.2285,30.6281,30.9161,30.0024,30.2829,30.3734,30.5616,30.7448,30.0877,30.1848,30.3899,30.6839,30.9286,29.8579,30.2393,30.5895,30.5568,30.7937,29.9766,30.3857,30.4802,30.6835,30.723,30.0815,30.3498,30.561,30.528,30.9995,30.3207,30.5827,30.5818,30.8495,30.8794,30.2355,30.3374,30.7522,30.6847,30.822,30.098,30.409,30.635,30.7836,30.7595
8,7:55:19 AM,29.9335,30.28,30.4046,30.4802,30.6911,30.0577,30.2779,30.373,30.6555,30.669,29.9977,30.1446,30.3353,30.7619,30.7804,29.9574,30.3224,30.5799,30.5729,30.6451,30.0574,30.3762,30.4246,30.7579,30.9079,29.8575,30.4463,30.5092,30.4981,30.5995,30.1064,30.3182,30.6411,30.944,30.9589,29.9849,30.4127,30.6384,30.772,30.8811,30.0113,30.4032,30.7277,30.9381,30.7369,30.0977,30.4278,30.6038,30.6996,30.8347,29.9433,30.5065,31.17,31.7796,31.0919,30.3213,30.4402,30.5532,30.9528,31.2231,30.042,30.2887,30.3833,30.6738,30.9013,30.0608,30.1962,30.0268,30.6629,30.8565,30.2105,30.4007,30.6268,30.7289,30.8201,30.1235,30.164,30.2328,30.6547,30.9278,30.0067,30.3613,30.3889,30.5733,30.7565,30.0105,30.2039,30.4165,30.7142,30.8886,29.8659,30.2362,30.5753,30.5797,30.7906,30.0143,30.3937,30.5883,30.6805,30.8199,30.097,30.3874,30.595,30.5582,30.9334,30.2991,30.5648,30.5862,30.8909,30.8837,30.1473,30.338,30.8194,30.7187,30.8781,30.0764,30.4281,30.6208,30.8323,30.786
9,7:55:39 AM,29.9919,30.2902,30.4407,30.5052,30.6976,30.0901,30.2992,30.4054,30.6694,30.6977,30.0413,30.1881,30.4233,30.7831,30.8424,29.9936,30.3844,30.716,30.6202,30.6923,30.1343,30.4086,30.5571,30.7422,30.9181,29.864,30.4565,30.5009,30.4972,30.6319,30.1277,30.3284,30.6772,30.9431,31.0024,30.0248,30.3711,30.6671,30.7674,30.9209,30.003,30.4652,30.8637,30.9705,30.7656,30.1228,30.4528,30.6806,30.7098,30.8634,29.9201,30.5241,31.1987,31.8305,31.128,30.376,30.469,30.5893,30.9556,31.0299,30.0633,30.2878,30.3713,30.6951,30.8819,30.0858,30.2027,30.0445,30.6953,30.9037,30.243,30.3961,30.6333,30.7317,30.8229,30.0967,30.1853,30.2652,30.6574,30.9491,30.0058,30.3382,30.4176,30.5946,30.7926,30.0392,30.24,30.4304,30.7132,30.9246,29.8909,30.2649,30.5892,30.5862,30.8267,30.0208,30.4039,30.5022,30.6943,30.7819,30.0812,30.3902,30.5867,30.5721,30.9103,30.2982,30.5676,30.6037,30.9047,30.979,30.2538,30.3668,30.8037,30.7289,30.8957,30.2571,30.4272,30.668,30.8758,30.7888
10,7:55:59 AM,30.0413,30.3396,30.4605,30.5324,30.7322,30.1173,30.3005,30.4289,30.7003,30.7249,30.0944,30.2339,30.5135,30.851,30.8325,30.0282,30.4672,30.7728,30.6399,30.7639,30.2023,30.4173,30.6102,30.6916,30.9267,29.8742,30.5148,30.4889,30.537,30.6495,30.1527,30.3312,30.68,30.9792,31.0015,30.0276,30.3961,30.6699,30.7998,30.9274,30.0132,30.4977,30.8443,30.9622,30.7684,30.1218,30.4927,30.7019,30.7162,30.8847,29.8932,30.3712,31.2126,31.8259,31.1641,30.3862,30.4903,30.5625,30.951,31.0438,30.0921,30.335,30.4038,30.7127,30.8921,30.1145,30.224,30.0955,30.6981,30.8954,30.2976,30.41,30.6916,30.7345,30.8183,30.0528,30.1637,30.2658,30.6617,30.9423,29.9953,30.3795,30.4404,30.6101,30.7932,30.0991,30.274,30.494,30.699,30.8809,29.9917,30.2841,30.5861,30.5831,30.8384,30.0436,30.4564,30.5657,30.7135,30.8307,30.0707,30.4057,30.5836,30.5727,30.9368,30.2581,30.5682,30.6118,30.872,30.9167,30.3211,30.4451,30.8414,30.748,30.8852,30.2021,30.4723,30.6464,30.8875,30.8338
