Row,Time,Temperature1(Voltage),Temperature2(Voltage),Temperature3(Voltage),Temperature4(Voltage),Temperature5(Voltage),Temperature6(Voltage),Temperature7(Voltage),Temperature8(Voltage),Temperature9(Voltage),Temperature10(Voltage),Temperature11(Voltage),Temperature12(Voltage),Temperature13(Voltage),Temperature14(Voltage),Temperature15(Voltage),Temperature16(Voltage),Temperature17(Voltage),Temperature18(Voltage),Temperature19(Voltage),Temperature20(Voltage),Temperature21(Voltage),Temperature22(Voltage),Temperature23(Voltage),Temperature24(Voltage),Temperature25(Voltage),Temperature26(Voltage),Temperature27(Voltage),Temperature28(Voltage),Temperature29(Voltage),Temperature30(Voltage),Temperature31(Voltage),Temperature32(Voltage),Temperature33(Voltage),Temperature34(Voltage),Temperature35(Voltage),Temperature36(Voltage),Temperature37(Voltage),Temperature38(Voltage),Temperature39(Voltage),Temperature40(Voltage),Temperature41(Voltage),Temperature42(Voltage),Temperature43(Voltage),Temperature44(Voltage),Temperature45(Voltage),Temperature46(Voltage),Temperature47(Voltage),Temperature48(Voltage),Temperature49(Voltage),Temperature50(Voltage),Temperature51(Voltage),Temperature52(Voltage),Temperature53(Voltage),Temperature54(Voltage),Temperature55(Voltage),Temperature56(Voltage),Temperature57(Voltage),Temperature58(Voltage),Temperature59(Voltage),Temperature60(Voltage),Temperature61(Voltage),Temperature62(Voltage),Temperature63(Voltage),Temperature64(Voltage),Temperature65(Voltage),Temperature66(Voltage),Temperature67(Voltage),Temperature68(Voltage),Temperature69(Voltage),Temperature70(Voltage),Temperature71(Voltage),Temperature72(Voltage),Temperature73(Voltage),Temperature74(Voltage),Temperature75(Voltage),Temperature76(Voltage),Temperature77(Voltage),Temperature78(Voltage),Temperature79(Voltage),Temperature80(Voltage),Temperature81(Voltage),Temperature82(Voltage),Temperature83(Voltage),Temperature84(Voltage),Temperature85(Voltage),Temperature86(Voltage),Temperature87(Voltage),Temperature88(Voltage),Temperature89(Voltage),Temperature90(Voltage),Temperature91(Voltage),Temperature92(Voltage),Temperature93(Voltage),Temperature94(Voltage),Temperature95(Voltage),Temperature96(Voltage),Temperature97(Voltage),Temperature98(Voltage),Temperature99(Voltage),Temperature100(Voltage),Temperature101(Voltage),Temperature102(Voltage),Temperature103(Voltage),Temperature104(Voltage),Temperature105(Voltage),Temperature106(Voltage),Temperature107(Voltage),Temperature108(Voltage),Temperature109(Voltage),Temperature110(Voltage),Temperature111(Voltage),Temperature112(Voltage),Temperature113(Voltage),Temperature114(Voltage),Temperature115(Voltage),Temperature116(Voltage),Temperature117(Voltage),Temperature118(Voltage),Temperature119(Voltage),Temperature120(Voltage)
1,12:24:35 PM,26.773,26.9696,26.9447,26.6875,27.3083,26.8192,26.3401,27.0142,27.4226,27.4454,26.6882,26.6327,26.6233,26.9981,27.261,26.6992,26.987,27.24,26.8829,27.4493,26.5078,27.0251,27.018,26.6602,27.7617,26.2752,26.9473,26.5808,26.9024,27.3159,27.2363,26.6406,27.3393,27.0601,27.7386,26.4411,26.932,27.168,26.9923,26.9541,26.7534,26.9813,26.6254,27.3252,27.3858,26.8221,27.1852,27.2247,27.2247,27.6554,25.9243,26.5103,27.0636,27.9177,27.8614,26.582,26.8968,26.7513,27.161,26.9889,26.7265,26.9687,26.6619,26.9136,27.4159,26.4321,26.8215,26.1307,27.2701,27.7345,26.4655,26.781,26.9454,26.8923,27.2796,26.7953,26.5759,27.0621,26.8251,27.4023,27.0224,26.6768,27.373,26.6229,27.6995,26.3598,26.6016,26.3935,26.6963,27.8761,26.5105,26.8338,27.0384,26.8498,27.9384,25.8302,27.0152,27.2038,26.8352,27.2768,26.7003,26.9238,26.5457,26.5106,27.5681,26.5743,27.0057,27.3945,26.7654,28.1028,26.0492,26.5348,27.3321,27.1307,27.456,26.1724,26.9627,26.4592,27.0752,27.4087
2,12:24:55 PM,26.7583,26.9375,26.8165,26.7176,27.2773,26.9251,26.4277,27.0196,27.375,27.4399,26.6658,26.617,26.604,27.0213,27.2963,26.6982,26.8835,27.2915,26.9149,27.4905,26.6045,27.0581,26.9977,26.567,27.7624,26.3277,26.9769,26.5874,26.8421,27.4055,27.2713,26.7864,27.4274,27.02,27.7288,26.4432,27.0005,27.1577,27.029,27.1606,26.8462,26.9918,26.6306,27.312,27.5038,26.9273,27.1506,27.248,27.2037,27.7105,25.9837,26.6048,27.1001,27.8629,27.9382,26.6436,26.886,26.7309,27.2235,26.9949,26.913,26.8972,26.6789,26.8356,27.46,26.5212,26.7816,26.1273,27.3606,27.8734,26.4279,26.8739,26.9894,26.9595,27.2082,26.8545,26.5331,27.0569,26.7915,27.3435,27.067,26.7534,27.3183,26.5741,27.8066,26.3313,26.5974,26.2459,26.7286,27.9433,26.4416,26.8238,27.0371,26.9016,28.0381,25.86,26.9793,27.1408,27.0305,27.3083,26.703,26.8999,26.662,26.6224,27.6305,26.5635,27.079,27.2806,26.8356,28.1883,26.0523,26.4824,27.2719,27.2105,27.5794,26.2227,26.9779,26.5251,27.0513,27.4597
3,12:25:15 PM,26.8103,27.0428,26.8726,26.7141,27.2798,26.8637,26.4606,27.0395,27.4111,27.3844,26.6881,26.5365,26.5686,26.9311,27.2764,26.6204,26.8803,27.1452,26.8936,27.3459,26.5397,27.043,27.0543,26.5626,27.6966,26.3245,26.9314,26.6021,26.8041,27.4203,27.1916,26.6889,27.371,27.027,27.6387,26.437,26.9821,27.2192,26.9704,27.082,26.9034,27.0068,26.5825,27.2382,27.4999,26.8356,27.1835,27.213,27.2681,27.5963,25.9456,26.4247,27.1508,28.0252,27.8912,26.5979,26.8475,26.7219,27.2938,27.0769,26.8888,26.9786,26.6981,26.9087,27.5645,26.4947,26.7226,26.0075,27.2844,27.8113,26.4512,26.8626,26.9438,27.0064,27.2364,26.7911,26.6682,27.0677,26.7712,27.3775,27.0315,26.7285,27.3433,26.6177,27.6773,26.3102,26.7517,26.4918,26.64,27.9922,26.4741,26.897,27.138,26.9188,28.0486,25.8685,27.0528,27.0526,26.8803,27.2115,26.6887,26.9295,26.675,26.5179,27.6037,26.6277,27.0627,27.3152,26.7763,28.1969,26.0423,26.3899,27.3556,27.0848,27.543,26.1609,26.9175,26.4574,27.029,27.372
4,12:25:35 PM,26.8616,27.0873,26.942,26.7092,27.3072,26.8978,26.4073,27.0975,27.3662,27.4996,26.7,26.468,26.59,27.0077,27.3319,26.6709,27.0288,27.0857,26.8825,27.57,26.6092,26.9911,27.1581,26.6013,27.8142,26.187,26.9145,26.5497,26.8606,27.3539,27.2007,26.8028,27.3634,27.0594,27.6956,26.4814,26.923,27.2236,27.0686,27.0916,26.8973,26.9944,26.7075,27.3985,27.6175,26.7334,27.1693,27.2328,27.1757,27.6624,26.0509,26.5334,27.31,27.8551,27.8901,26.5879,26.9229,26.7087,27.2514,27.1631,26.8885,27.0056,26.7257,26.8649,27.4853,26.4515,26.7105,26.0009,27.3914,27.7913,26.4845,26.8065,26.9612,26.8578,27.161,26.7279,26.6153,27.0527,26.8151,27.3936,27.0776,26.6863,27.2574,26.5604,27.8289,26.3028,26.7141,26.3564,26.539,27.8892,26.4681,26.8673,27.0388,26.9124,28.0492,25.8443,27.0577,27.13,26.8776,27.2568,26.7429,26.9323,26.694,26.631,27.6089,26.5643,27.0323,27.2991,26.809,28.2092,26.0482,26.4868,27.4255,27.1326,27.6151,26.1551,26.9929,26.5092,27.1391,27.4158
5,12:25:55 PM,26.7805,26.9573,26.8518,26.7419,27.2359,26.9074,26.493,27.1385,27.4228,27.5778,26.6927,26.6083,26.6111,27.041,27.3448,26.66,26.9673,27.0727,26.9191,27.5061,26.5471,27.0505,27.0188,26.6303,27.9024,26.2645,27.0919,26.6529,26.8109,27.3728,27.2282,26.623,27.4195,27.1293,27.7486,26.421,26.9688,27.2026,27.0469,27.1504,26.7952,26.9924,26.6652,27.2958,27.5528,26.8383,27.1653,27.284,27.1528,27.7079,25.8745,26.3943,27.2509,27.9828,27.9174,26.7233,26.8277,26.815,27.1989,27.0012,26.8753,26.9336,26.707,26.8893,27.5679,26.573,26.6882,26.1242,27.2966,27.8205,26.4763,26.8524,27.0057,27.0195,27.2421,26.7573,26.5839,27.0808,26.865,27.4006,27.0917,26.8265,27.316,26.6148,27.8496,26.3603,26.6772,26.4506,26.6872,27.9912,26.4204,26.8666,27.1403,26.9123,28.1654,25.8645,27.0218,27.058,26.9608,27.1567,26.7668,26.95,26.6523,26.6945,27.6617,26.606,26.9909,27.3182,26.8442,28.2644,26.0968,26.6278,27.3511,27.0988,27.6494,26.2642,27.0195,26.534,27.0293,27.3484
6,12:26:15 PM,26.7753,26.9367,26.8993,26.746,27.2938,26.8347,26.496,27.0274,27.4935,27.5345,26.7506,26.6147,26.6296,27.0157,27.3025,26.6885,26.9511,27.2533,26.7692,27.4627,26.5135,26.9734,27.0636,26.7034,27.8577,26.2459,26.9592,26.6368,26.863,27.3557,27.1831,26.7268,27.3556,27.1196,27.6339,26.3969,27.0277,27.1892,26.9813,27.1387,26.8017,27.0221,26.6555,27.23,27.5145,26.8755,27.2919,27.2429,27.2811,27.6705,26.0063,26.5153,27.1369,27.8797,27.9404,26.5873,26.9093,26.8442,27.2389,27.0498,26.9312,26.9963,26.6551,26.9176,27.5691,26.5028,26.8681,26.0655,27.255,27.7797,26.4491,26.853,26.8817,26.9654,27.1223,26.733,26.6763,27.0346,26.7287,27.3515,27.1221,26.8442,27.3496,26.5825,27.7333,26.3501,26.7194,26.4499,26.6318,28.0664,26.5812,26.8585,27.1261,26.9232,27.9554,25.8463,27.006,27.2163,26.8966,27.2797,26.7041,26.8739,26.6369,26.5659,27.6447,26.5201,26.9989,27.3584,26.8378,28.2387,25.9856,26.5759,27.327,27.2054,27.6282,26.137,27.0156,26.5659,27.1555,27.3858
7,12:26:35 PM,26.883,27.0674,26.8519,26.6585,27.2055,26.884,26.528,27.092,27.4855,27.5513,26.7537,26.5788,26.7689,26.9652,27.2639,26.6484,27.0849,27.1908,26.8979,27.5843,26.6334,27.0623,27.1051,26.6461,27.8497,26.2897,26.9725,26.5952,26.8667,27.4382,27.2259,26.5588,27.5082,27.1046,27.7515,26.4515,27.0266,27.2515,27.1073,27.1575,26.7677,27.024,26.689,27.2737,27.5424,26.8758,27.2495,27.2819,27.2854,27.6296,25.9668,26.5693,27.282,27.897,27.94,26.6631,26.868,26.7508,27.3189,27.0657,26.8533,27.0053,26.7065,26.8062,27.489,26.5913,26.7802,26.0308,27.3639,27.9036,26.4858,26.9145,27.0536,26.871,27.2073,26.7952,26.6857,27.0693,26.77,27.3789,27.2045,26.7389,27.3444,26.5864,27.8301,26.3301,26.7301,26.4716,26.5603,27.9861,26.5436,26.7545,27.0915,26.9639,27.9558,25.8219,27.0014,27.0704,26.9891,27.3005,26.7184,27.0053,26.6896,26.6562,27.6847,26.6051,27.0878,27.4264,26.7858,28.1939,26.0413,26.6308,27.2943,27.2132,27.5969,26.12,26.959,26.5253,27.1006,27.3934
8,12:26:55 PM,26.8521,27.0759,26.9211,26.7697,27.3517,26.989,26.4473,27.1099,27.5421,27.5517,26.8313,26.5522,26.7155,27.0006,27.3124,26.7797,27.0287,27.2045,26.8609,27.4309,26.6277,27.1413,27.0797,26.6743,27.7925,26.293,27.0253,26.7299,26.7671,27.3909,27.2054,26.6914,27.5379,27.0443,27.754,26.4556,26.9819,27.171,27.0469,27.1784,26.8384,27.027,26.584,27.2458,27.5365,26.8536,27.1387,27.3376,27.1914,27.6622,25.9798,26.6092,27.17,28.0481,27.9254,26.6418,26.8996,26.7875,27.2914,27.1413,26.8991,27.0206,26.7145,26.9141,27.6042,26.5344,26.7111,26.0679,27.3264,27.7995,26.5395,26.932,27.0131,26.967,27.1717,26.7546,26.5315,27.0454,26.8794,27.3988,27.0948,26.8137,27.2687,26.6019,27.6752,26.4046,26.7224,26.3721,26.6824,27.9446,26.6038,26.8617,27.1755,27.0056,28.097,25.8696,27.0109,27.1785,26.978,27.2551,26.6962,26.9493,26.7465,26.5431,27.626,26.5886,27.0415,27.417,26.8351,28.2749,26.0085,26.6631,27.3575,27.2165,27.6092,26.1437,26.9361,26.4756,27.0824,27.4423
9,12:27:15 PM,26.7754,26.967,26.8866,26.7706,27.2224,26.9807,26.4689,27.0434,27.4495,27.5466,26.8564,26.6191,26.7364,27.157,27.3122,26.8034,27.0932,27.1244,26.9751,27.4704,26.6499,27.1043,27.099,26.6486,27.8865,26.3774,27.0772,26.6803,26.9228,27.3991,27.2736,26.729,27.4285,27.083,27.7627,26.4817,26.9847,27.21,27.1364,27.0483,26.7922,27.1136,26.7125,27.3914,27.6787,26.8662,27.1785,27.264,27.344,27.7193,25.9936,26.5664,27.1575,27.9816,27.9095,26.5423,26.9104,26.7063,27.2879,27.1362,26.8943,26.9987,26.6897,26.927,27.6012,26.5462,26.7539,25.9917,27.2809,27.8463,26.5715,26.8953,27.0213,26.8781,27.2324,26.7534,26.6879,27.0551,26.7774,27.3796,27.0507,26.8287,27.2935,26.7088,27.81,26.3861,26.8351,26.4288,26.6877,28.0164,26.541,26.9086,27.0924,26.8344,28.0924,25.7774,27.0481,27.1883,26.9897,27.1767,26.7999,26.9747,26.7245,26.6461,27.6658,26.5144,26.9464,27.3979,26.7655,28.2528,26.2044,26.6154,27.3119,27.1838,27.6474,26.3152,27.0349,26.5932,27.2164,27.5361
10,12:27:35 PM,26.8564,26.9951,26.957,26.6999,27.4023,26.9264,26.5295,27.1096,27.5549,27.5889,26.7656,26.6505,26.7442,27.1453,27.4296,26.7877,27.0233,27.1807,26.9139,27.4175,26.6059,27.0288,27.0705,26.6544,27.8425,26.4046,26.9797,26.698,26.8968,27.3496,27.2577,26.7452,27.3841,27.1027,27.815,26.5876,26.9319,27.2031,27.0441,27.0708,26.8181,27.1578,26.6448,27.3871,27.5963,26.7892,27.2785,27.1894,27.2512,27.6941,26.0493,26.5209,27.199,28.0695,28.0024,26.5979,26.8422,26.8032,27.2809,27.1389,26.8812,27.0829,26.761,26.9551,27.5904,26.4695,26.7682,26.1217,27.3749,27.8031,26.4752,26.8139,27.0886,26.8991,27.1955,26.8586,26.6635,27.1145,26.8601,27.4278,27.1374,26.8073,27.261,26.7128,27.7664,26.4107,26.8373,26.4925,26.6523,28.0535,26.5233,26.8877,27.1434,27.0054,28.1277,25.9088,27.1244,27.1333,27.0362,27.2451,26.7998,26.9647,26.6358,26.5721,27.6894,26.5874,26.994,27.3114,26.9574,28.1818,26.1789,26.5861,27.3474,27.2505,27.6373,26.2366,27.0037,26.5327,27.0831,27.3988
11,12:27:55 PM,26.8067,26.9914,26.9789,26.7443,27.2925,26.9497,26.478,27.0396,27.4823,27.585,26.5816,26.6904,26.6514,27.0411,27.425,26.8217,27.1774,27.2154,26.9346,27.6679,26.6086,27.072,27.0778,26.6516,27.9278,26.3113,26.9533,26.6241,26.9389,27.3991,27.2472,26.6522,27.4776,27.1848,27.7438,26.5515,27.0,27.2802,27.0194,27.2224,26.8832,27.0775,26.6598,27.3738,27.507,26.8823,27.2841,27.3803,27.2363,27.6659,26.0014,26.5589,27.194,27.9134,27.927,26.6616,26.8122,26.7473,27.3638,26.9986,26.9177,27.1212,26.7257,26.9088,27.571,26.4955,26.7974,26.1376,27.2931,27.8441,26.4895,26.9305,27.0665,26.8461,27.121,26.8659,26.6818,27.0986,26.8789,27.407,27.0701,26.8481,27.3888,26.8095,27.8495,26.4435,26.8356,26.4877,26.6333,28.0145,26.5357,26.9732,27.1014,26.9512,27.9756,25.9635,26.9627,27.1652,26.9629,27.2828,26.8282,26.92,26.7073,26.6096,27.6945,26.5057,27.076,27.3673,26.7132,28.227,26.0245,26.5644,27.3316,27.253,27.5747,26.3126,27.1342,26.5615,27.0831,27.4997
12,12:28:15 PM,26.8104,26.9495,27.0453,26.7653,27.3135,26.9229,26.4231,27.0281,27.573,27.5421,26.8316,26.689,26.6402,27.1452,27.3793,26.7334,27.0244,27.2479,26.8802,27.5982,26.6715,27.0377,27.0339,26.5394,27.7888,26.3253,26.953,26.6528,26.9099,27.3785,27.2008,26.741,27.4448,27.1212,27.8414,26.5552,26.9577,27.2591,27.021,27.1292,26.8645,27.1001,26.6434,27.3763,27.5883,26.8842,27.1783,27.269,27.1894,27.7283,26.0367,26.6672,27.1785,28.0087,28.018,26.62,26.8588,26.8013,27.3552,27.0245,26.8588,27.0492,26.7586,26.9261,27.6139,26.6021,26.9474,26.1542,27.2724,27.7844,26.5391,27.0138,27.0633,26.8355,27.2197,26.8363,26.6484,26.9978,26.815,27.372,27.0473,26.8077,27.3186,26.6695,27.8437,26.4386,26.7871,26.442,26.7699,28.0938,26.5319,26.8156,27.1942,26.8973,28.0172,25.883,27.036,27.1728,26.956,27.1665,26.7182,27.1155,26.6846,26.6146,27.7098,26.6018,27.0873,27.4268,26.9389,28.2905,26.1668,26.6333,27.434,27.2099,27.6851,26.3255,27.1174,26.5194,27.2618,27.506
13,12:28:35 PM,26.8575,26.9789,26.9529,26.7362,27.3045,27.0097,26.4376,27.1616,27.4989,27.5298,26.7657,26.7717,26.6615,27.0532,27.333,26.7343,27.1462,27.2145,27.0032,27.6226,26.7428,27.0918,27.1397,26.6279,27.8234,26.3138,27.0836,26.6805,26.9322,27.4153,27.2998,26.6662,27.5425,27.1884,27.8598,26.5396,27.1441,27.1879,27.0416,27.1234,26.7695,27.0585,26.5573,27.4148,27.5881,26.9061,27.2899,27.304,27.2736,27.6887,26.0143,26.5555,27.2983,27.985,27.9872,26.5637,26.956,26.8825,27.2746,27.0459,26.8984,27.0551,26.7667,26.8251,27.5625,26.6014,26.8995,26.1513,27.4198,27.8904,26.5492,26.9651,27.0722,26.9709,27.2129,26.7838,26.6775,27.0988,26.8644,27.4536,27.12,26.8569,27.4179,26.7645,27.8208,26.3229,26.7679,26.5302,26.732,28.1098,26.575,26.8783,27.2367,26.8945,28.1594,26.0251,27.0925,27.2157,26.8832,27.3754,26.7488,26.9974,26.799,26.5791,27.6894,26.6508,27.0362,27.3749,26.9082,28.3279,26.1474,26.6015,27.3677,27.3388,27.6611,26.1813,26.9553,26.4924,27.1988,27.4661
