Row,Time,Temperature1(Voltage),Temperature2(Voltage),Temperature3(Voltage),Temperature4(Voltage),Temperature5(Voltage),Temperature6(Voltage),Temperature7(Voltage),Temperature8(Voltage),Temperature9(Voltage),Temperature10(Voltage),Temperature11(Voltage),Temperature12(Voltage),Temperature13(Voltage),Temperature14(Voltage),Temperature15(Voltage),Temperature16(Voltage),Temperature17(Voltage),Temperature18(Voltage),Temperature19(Voltage),Temperature20(Voltage),Temperature21(Voltage),Temperature22(Voltage),Temperature23(Voltage),Temperature24(Voltage),Temperature25(Voltage),Temperature26(Voltage),Temperature27(Voltage),Temperature28(Voltage),Temperature29(Voltage),Temperature30(Voltage),Temperature31(Voltage),Temperature32(Voltage),Temperature33(Voltage),Temperature34(Voltage),Temperature35(Voltage),Temperature36(Voltage),Temperature37(Voltage),Temperature38(Voltage),Temperature39(Voltage),Temperature40(Voltage),Temperature41(Voltage),Temperature42(Voltage),Temperature43(Voltage),Temperature44(Voltage),Temperature45(Voltage),Temperature46(Voltage),Temperature47(Voltage),Temperature48(Voltage),Temperature49(Voltage),Temperature50(Voltage),Temperature51(Voltage),Temperature52(Voltage),Temperature53(Voltage),Temperature54(Voltage),Temperature55(Voltage),Temperature56(Voltage),Temperature57(Voltage),Temperature58(Voltage),Temperature59(Voltage),Temperature60(Voltage),Temperature61(Voltage),Temperature62(Voltage),Temperature63(Voltage),Temperature64(Voltage),Temperature65(Voltage),Temperature66(Voltage),Temperature67(Voltage),Temperature68(Voltage),Temperature69(Voltage),Temperature70(Voltage),Temperature71(Voltage),Temperature72(Voltage),Temperature73(Voltage),Temperature74(Voltage),Temperature75(Voltage),Temperature76(Voltage),Temperature77(Voltage),Temperature78(Voltage),Temperature79(Voltage),Temperature80(Voltage),Temperature81(Voltage),Temperature82(Voltage),Temperature83(Voltage),Temperature84(Voltage),Temperature85(Voltage),Temperature86(Voltage),Temperature87(Voltage),Temperature88(Voltage),Temperature89(Voltage),Temperature90(Voltage),Temperature91(Voltage),Temperature92(Voltage),Temperature93(Voltage),Temperature94(Voltage),Temperature95(Voltage),Temperature96(Voltage),Temperature97(Voltage),Temperature98(Voltage),Temperature99(Voltage),Temperature100(Voltage),Temperature101(Voltage),Temperature102(Voltage),Temperature103(Voltage),Temperature104(Voltage),Temperature105(Voltage),Temperature106(Voltage),Temperature107(Voltage),Temperature108(Voltage),Temperature109(Voltage),Temperature110(Voltage),Temperature111(Voltage),Temperature112(Voltage),Temperature113(Voltage),Temperature114(Voltage),Temperature115(Voltage),Temperature116(Voltage),Temperature117(Voltage),Temperature118(Voltage),Temperature119(Voltage),Temperature120(Voltage)
1,12:24:35 PM,26.7992,26.879,26.9119,27.0913,26.9007,26.9156,27.2326,26.8599,26.7868,26.6797,26.9876,27.0258,27.0222,26.9983,26.8301,26.9898,26.91,26.9426,26.9638,26.6834,27.2706,26.954,26.7719,26.9233,26.3891,27.3221,27.2902,27.0975,27.071,26.7667,27.1153,27.2011,26.8788,27.1955,26.6846,27.2953,26.9797,27.1125,26.9631,27.018,26.8875,27.0481,27.4858,27.1333,26.7611,27.1161,27.104,27.0413,26.7702,26.5557,27.5167,27.2235,27.0192,27.3815,26.9467,27.4434,27.0271,27.0924,26.9727,26.8265,26.8187,26.7639,26.8547,27.1269,26.4814,27.2151,26.7525,26.6952,26.6241,26.3411,27.5873,27.1753,27.0385,27.122,26.9546,26.8944,26.8469,26.6028,27.3589,27.0747,26.9089,27.0264,26.641,27.0986,26.3204,27.3577,27.0376,27.4868,27.2391,26.1508,26.8304,26.8172,26.7354,26.9884,25.9696,27.8364,27.1717,26.7832,27.0344,26.8991,27.0073,26.9708,27.2888,27.1229,26.4474,27.0868,27.0393,26.6951,27.1674,25.76,27.9627,27.1628,26.9344,26.7544,26.4089,27.3395,27.031,27.2357,27.0078,26.6035
2,12:24:55 PM,26.7967,26.8638,26.8136,27.0887,26.8652,26.9092,27.2156,26.8401,26.766,26.7283,26.9496,27.0282,27.0644,26.9979,26.8597,27.0199,26.9547,26.915,26.9535,26.7074,27.2942,26.9806,26.7747,26.8763,26.3884,27.2785,27.2982,27.1963,27.0316,26.6793,27.1142,27.2007,26.8851,27.2436,26.6668,27.3578,26.9673,27.1308,26.9365,27.0804,26.9374,27.0359,27.5077,27.1059,26.7878,27.0871,27.0663,27.0733,26.7307,26.5021,27.5026,27.159,26.9735,27.4504,26.9218,27.4888,26.9725,27.1731,27.0416,26.8351,26.8019,26.8139,26.8729,27.1703,26.51,27.2234,26.7619,26.7052,26.6183,26.3947,27.6315,27.1555,27.0475,27.1608,26.9004,26.9509,26.8226,26.6323,27.3374,26.9945,26.8935,27.0314,26.5675,26.9606,26.2991,27.3384,27.0517,27.4153,27.2151,26.2444,26.8513,26.8296,26.7014,27.0096,25.9252,27.8395,27.1929,26.8195,27.0248,26.8799,27.0157,26.9575,27.2869,27.1472,26.4139,27.1791,26.9872,26.6801,27.2621,25.7951,27.9656,27.1392,26.9403,26.7843,26.4056,27.3667,27.013,27.2636,26.9942,26.6649
3,12:25:15 PM,26.8544,26.8724,26.9382,27.0892,26.8596,26.9157,27.2737,26.8499,26.7686,26.7392,27.0005,27.1007,27.0704,26.9869,26.8382,27.058,26.8755,26.8866,26.9437,26.6787,27.3581,26.9559,26.803,26.9685,26.4196,27.2897,27.3319,27.1489,26.9985,26.7173,27.0663,27.2549,26.9371,27.1862,26.6901,27.3347,26.9646,27.1986,27.026,26.9504,26.8646,27.0151,27.4908,27.1427,26.8063,27.1294,27.1587,27.0482,26.8304,26.5671,27.5332,27.1972,26.9488,27.4041,26.8888,27.4345,27.0049,27.1225,27.0656,26.8399,26.8374,26.7934,26.8744,27.147,26.5578,27.197,26.8391,26.6931,26.6628,26.3294,27.631,27.1382,27.0224,27.1738,26.9414,26.9172,26.8924,26.6411,27.3447,26.9487,26.9232,27.0952,26.5935,27.0188,26.281,27.3578,27.1285,27.5097,27.2481,26.2479,26.8548,26.861,26.7146,26.9758,25.9648,27.8607,27.2135,26.8332,26.986,26.9574,26.997,26.9268,27.2658,27.1362,26.4569,27.2164,27.0045,26.7337,27.2498,25.8126,27.9771,27.1647,26.9598,26.8241,26.415,27.3479,26.9991,27.2761,27.0193,26.6832
4,12:25:35 PM,26.8316,26.8598,26.8683,27.1129,26.8691,26.9081,27.2568,26.8874,26.7848,26.6577,27.0141,27.0587,27.0914,27.02,26.8339,27.011,26.9227,26.9441,26.9792,26.6618,27.2863,27.0682,26.7669,26.9179,26.4173,27.3478,27.3196,27.1386,27.0154,26.7564,27.12,27.2331,26.9468,27.1881,26.6765,27.3246,27.0468,27.1488,26.9558,27.019,26.8823,27.041,27.4723,27.0852,26.8071,27.0999,27.136,27.0271,26.7612,26.5431,27.5306,27.1972,26.9727,27.4198,26.9036,27.4596,26.9599,27.1728,27.0678,26.8371,26.8091,26.7605,26.8515,27.2052,26.4886,27.2602,26.7807,26.6466,26.5867,26.3801,27.6437,27.1301,27.011,27.1735,26.9183,26.9453,26.9624,26.5872,27.3571,27.0165,26.841,27.0839,26.5945,27.014,26.3279,27.3607,27.1125,27.4928,27.2565,26.2504,26.8558,26.8239,26.7449,26.9784,25.9764,27.8435,27.2296,26.8564,27.0209,26.9052,27.0093,26.974,27.3012,27.085,26.4165,27.1826,26.9944,26.6894,27.3033,25.7762,28.0123,27.2028,26.9739,26.889,26.4412,27.3125,26.9647,27.3128,27.0482,26.6619
5,12:25:55 PM,26.8621,26.8711,26.9413,27.1459,26.8625,26.9513,27.3175,26.8896,26.8306,26.6937,26.9944,27.0262,27.0195,27.0329,26.831,27.0126,26.9324,26.896,26.9669,26.7207,27.3081,26.9909,26.7621,26.954,26.41,27.3122,27.3153,27.221,26.9994,26.7495,27.1093,27.2534,26.9151,27.2252,26.6945,27.3206,26.9595,27.1198,26.9557,27.0356,26.9027,27.0169,27.4728,27.2059,26.8375,27.0978,27.1243,27.0559,26.7709,26.6203,27.5221,27.1893,27.0605,27.5084,26.9022,27.4971,27.0237,27.1217,27.0852,26.8576,26.8175,26.8438,26.8095,27.2377,26.478,27.2237,26.8055,26.7088,26.653,26.3491,27.6026,27.1853,27.0272,27.1224,26.9109,26.973,26.8676,26.6447,27.3518,27.0043,26.8865,27.1486,26.6225,27.01,26.3173,27.4238,27.0574,27.5199,27.2925,26.2404,26.8488,26.9033,26.7503,27.0343,25.9634,27.8355,27.1925,26.8679,26.9925,26.9448,27.0219,26.9764,27.2876,27.0966,26.457,27.1437,27.0385,26.7267,27.2331,25.8195,28.028,27.188,26.9641,26.7784,26.4991,27.3668,26.9607,27.2678,27.0069,26.6825
6,12:26:15 PM,26.8257,26.8635,26.8911,27.1094,26.8671,26.8884,27.2623,26.9397,26.8071,26.7632,27.0044,27.0702,27.1,27.0719,26.9074,27.0804,26.9296,26.9532,26.951,26.7085,27.2963,26.9881,26.7649,26.9242,26.4074,27.3125,27.3312,27.1821,27.0516,26.7235,27.1516,27.204,26.9333,27.2452,26.7366,27.3582,27.0187,27.1864,26.996,27.0271,26.9109,27.036,27.4801,27.1797,26.8111,27.0889,27.0713,27.1073,26.8497,26.5766,27.5073,27.2351,26.9573,27.4273,26.9128,27.4789,27.0036,27.1861,27.0552,26.8201,26.8541,26.8326,26.8127,27.1469,26.5632,27.2718,26.8308,26.7406,26.6668,26.359,27.6681,27.1838,27.0865,27.1215,26.9418,26.9446,26.869,26.6355,27.366,26.9672,26.8341,27.0697,26.6136,27.0404,26.3093,27.3871,27.117,27.5327,27.2661,26.2985,26.8221,26.8848,26.7888,26.963,26.0499,27.8408,27.2444,26.8721,27.0723,26.9202,26.9955,26.9461,27.2591,27.1675,26.4374,27.1437,26.9763,26.7513,27.2521,25.8117,28.0067,27.1882,26.9842,26.8689,26.4561,27.3174,26.9444,27.2734,27.0129,26.6976
7,12:26:35 PM,26.8261,26.9109,26.9059,27.1,26.9287,26.9533,27.228,26.9603,26.8204,26.8135,27.0364,27.0817,27.0653,27.0178,26.8682,27.027,26.9427,26.91,26.9554,26.7327,27.38,26.9801,26.7493,26.9398,26.4298,27.2912,27.33,27.1662,27.0373,26.7592,27.0994,27.3068,26.9654,27.2753,26.7061,27.3067,27.106,27.1651,26.9773,27.0522,26.9576,27.0402,27.4475,27.1833,26.8262,27.1617,27.0889,27.0272,26.7646,26.5604,27.4784,27.1943,26.939,27.4795,26.9273,27.4724,26.963,27.2033,27.075,26.8595,26.8208,26.8199,26.8776,27.1911,26.4954,27.2802,26.7989,26.7117,26.712,26.4168,27.6475,27.1543,27.0145,27.0862,26.9138,26.882,26.8609,26.716,27.3077,27.0476,26.8541,27.0914,26.6055,27.0403,26.3527,27.3612,27.1283,27.578,27.2541,26.2078,26.9024,26.8971,26.6798,27.022,25.9461,27.826,27.2093,26.8194,27.047,26.8927,26.9767,27.0303,27.2722,27.1129,26.5566,27.206,27.0229,26.7708,27.1971,25.8415,28.0101,27.1761,26.9723,26.9286,26.4861,27.3438,27.029,27.2968,27.0628,26.736
8,12:26:55 PM,26.8442,26.881,26.918,27.1513,26.9381,26.9535,27.2295,26.9133,26.8346,26.7572,27.0458,27.1315,27.156,27.0224,26.966,27.0947,26.9429,26.8758,26.9742,26.7635,27.3199,27.0014,26.8065,26.9837,26.5055,27.3075,27.3783,27.1531,27.034,26.7463,27.1775,27.2837,26.9909,27.2116,26.7913,27.3416,27.0321,27.1766,27.0653,27.0534,26.9612,27.0375,27.4877,27.1791,26.7982,27.1455,27.0952,27.0922,26.7848,26.5563,27.5262,27.221,26.9721,27.5307,26.9441,27.539,26.9794,27.1636,27.0502,26.8567,26.852,26.8371,26.8844,27.2212,26.5457,27.2444,26.9099,26.7232,26.6329,26.3596,27.6524,27.1787,27.0772,27.162,26.949,26.9594,26.8808,26.6586,27.4196,27.0379,26.8551,27.0564,26.6485,27.1089,26.3614,27.4056,27.1202,27.5269,27.2736,26.3137,26.9376,26.8923,26.7738,27.0338,25.9636,27.8427,27.2521,26.8445,26.9973,26.9067,26.9679,27.0379,27.2828,27.0843,26.4709,27.1833,26.9697,26.7589,27.2955,25.8684,28.0669,27.2065,27.0336,26.9032,26.4734,27.3798,26.9894,27.3339,27.0542,26.6904
9,12:27:15 PM,26.9549,26.8812,26.9239,27.1367,26.8769,26.8916,27.2763,26.9178,26.793,26.805,26.99,27.0988,27.1789,27.0809,26.8838,27.044,26.9805,26.9155,27.0153,26.7119,27.3329,27.0086,26.8066,26.9545,26.4573,27.293,27.335,27.1437,27.0788,26.6786,27.1,27.2713,26.95,27.2673,26.8076,27.3922,27.0635,27.215,27.0586,27.0834,26.9373,27.0034,27.4952,27.1746,26.7859,27.1647,27.0878,27.1134,26.7637,26.5671,27.5304,27.2,26.9934,27.5449,26.9517,27.4536,27.0043,27.1745,27.0719,26.8785,26.8813,26.8616,26.857,27.2505,26.6036,27.231,26.867,26.7514,26.7308,26.3758,27.6208,27.1688,27.0984,27.1506,26.9501,26.8897,26.9176,26.6644,27.3264,27.0209,26.8757,27.1457,26.5806,27.0876,26.3682,27.4041,27.0778,27.523,27.3073,26.2667,26.9117,26.9217,26.8161,27.0098,25.9782,27.8094,27.2259,26.9326,27.0063,26.9487,26.9651,27.0205,27.2809,27.1111,26.479,27.1527,27.0608,26.8006,27.284,25.8539,27.9887,27.2646,27.0347,26.8977,26.511,27.4243,26.9964,27.303,27.0729,26.7133
10,12:27:35 PM,26.8336,26.9234,26.944,27.1424,26.9256,26.8983,27.2968,26.9733,26.8867,26.7597,27.0753,27.1208,27.1369,27.0623,26.9329,27.0336,26.9891,26.931,26.9959,26.7013,27.3254,27.0381,26.8176,27.0098,26.4971,27.349,27.3335,27.1376,27.092,26.7307,27.1106,27.2173,26.9605,27.3009,26.8036,27.4024,27.0709,27.1905,27.0097,27.0958,26.9546,27.0261,27.5393,27.2191,26.8255,27.2084,27.1167,27.0718,26.8428,26.5797,27.5523,27.2201,26.9707,27.574,26.9138,27.4319,27.0339,27.1974,27.1266,26.91,26.8186,26.7964,26.978,27.2452,26.5225,27.2901,26.8192,26.7341,26.7004,26.3798,27.6459,27.2207,27.1061,27.1453,26.9258,27.0243,26.8987,26.7547,27.3502,27.0298,26.9201,27.1116,26.6417,27.0885,26.3802,27.466,27.1902,27.6338,27.3364,26.314,26.9163,26.8984,26.8273,26.9784,25.9528,27.8417,27.2696,26.8895,27.0492,26.9546,27.0002,27.0632,27.3084,27.1334,26.4839,27.1992,26.9326,26.7433,27.2864,25.8394,28.0921,27.2278,27.0643,26.8721,26.5262,27.4447,27.0275,27.3557,27.0681,26.7203
