Row,Time,Temperature1(Voltage),Temperature2(Voltage),Temperature3(Voltage),Temperature4(Voltage),Temperature5(Voltage),Temperature6(Voltage),Temperature7(Voltage),Temperature8(Voltage),Temperature9(Voltage),Temperature10(Voltage),Temperature11(Voltage),Temperature12(Voltage),Temperature13(Voltage),Temperature14(Voltage),Temperature15(Voltage),Temperature16(Voltage),Temperature17(Voltage),Temperature18(Voltage),Temperature19(Voltage),Temperature20(Voltage),Temperature21(Voltage),Temperature22(Voltage),Temperature23(Voltage),Temperature24(Voltage),Temperature25(Voltage),Temperature26(Voltage),Temperature27(Voltage),Temperature28(Voltage),Temperature29(Voltage),Temperature30(Voltage),Temperature31(Voltage),Temperature32(Voltage),Temperature33(Voltage),Temperature34(Voltage),Temperature35(Voltage),Temperature36(Voltage),Temperature37(Voltage),Temperature38(Voltage),Temperature39(Voltage),Temperature40(Voltage),Temperature41(Voltage),Temperature42(Voltage),Temperature43(Voltage),Temperature44(Voltage),Temperature45(Voltage),Temperature46(Voltage),Temperature47(Voltage),Temperature48(Voltage),Temperature49(Voltage),Temperature50(Voltage),Temperature51(Voltage),Temperature52(Voltage),Temperature53(Voltage),Temperature54(Voltage),Temperature55(Voltage),Temperature56(Voltage),Temperature57(Voltage),Temperature58(Voltage),Temperature59(Voltage),Temperature60(Voltage),Temperature61(Voltage),Temperature62(Voltage),Temperature63(Voltage),Temperature64(Voltage),Temperature65(Voltage),Temperature66(Voltage),Temperature67(Voltage),Temperature68(Voltage),Temperature69(Voltage),Temperature70(Voltage),Temperature71(Voltage),Temperature72(Voltage),Temperature73(Voltage),Temperature74(Voltage),Temperature75(Voltage),Temperature76(Voltage),Temperature77(Voltage),Temperature78(Voltage),Temperature79(Voltage),Temperature80(Voltage),Temperature81(Voltage),Temperature82(Voltage),Temperature83(Voltage),Temperature84(Voltage),Temperature85(Voltage),Temperature86(Voltage),Temperature87(Voltage),Temperature88(Voltage),Temperature89(Voltage),Temperature90(Voltage),Temperature91(Voltage),Temperature92(Voltage),Temperature93(Voltage),Temperature94(Voltage),Temperature95(Voltage),Temperature96(Voltage),Temperature97(Voltage),Temperature98(Voltage),Temperature99(Voltage),Temperature100(Voltage),Temperature101(Voltage),Temperature102(Voltage),Temperature103(Voltage),Temperature104(Voltage),Temperature105(Voltage),Temperature106(Voltage),Temperature107(Voltage),Temperature108(Voltage),Temperature109(Voltage),Temperature110(Voltage),Temperature111(Voltage),Temperature112(Voltage),Temperature113(Voltage),Temperature114(Voltage),Temperature115(Voltage),Temperature116(Voltage),Temperature117(Voltage),Temperature118(Voltage),Temperature119(Voltage),Temperature120(Voltage)
1,12:24:35 PM,26.7269,26.8556,26.8825,26.7008,27.1413,26.8487,26.6232,27.0049,27.2127,27.2782,26.7565,26.6487,26.7902,27.0517,27.2685,26.7228,26.9173,27.1382,26.92,27.2073,26.7661,27.0172,27.0486,26.7036,27.4047,26.4862,26.9716,26.7107,26.923,27.1607,27.0978,26.8127,27.2505,27.0061,27.4154,26.6631,26.9407,27.1683,26.9686,27.0557,26.8229,27.0255,26.8491,27.2011,27.3057,26.8204,27.1054,27.2551,27.1486,27.3631,26.2371,26.71,27.0563,27.6734,27.5927,26.8824,26.9241,26.9214,27.2465,26.9791,26.8484,26.895,26.7286,26.8822,27.3343,26.552,26.8521,26.1854,27.091,27.4222,26.7344,26.9669,26.9918,26.9733,27.2473,26.7784,26.6185,26.9174,26.9579,27.3153,26.9851,26.8869,27.138,26.7269,27.425,26.496,26.7759,26.7045,26.7638,27.4629,26.6794,26.8782,27.1101,26.8228,27.453,26.3342,27.1083,27.0327,26.9689,27.2105,26.7115,27.0029,26.8351,26.6856,27.3076,26.7197,26.9243,27.1539,26.8888,27.6859,26.4876,26.7254,27.2519,27.0738,27.162,26.4748,27.1196,26.6341,27.0216,27.1968
2,12:24:55 PM,26.7817,26.9123,26.9615,26.8514,27.1693,26.8335,26.5595,27.0431,27.2905,27.2444,26.7622,26.6389,26.7949,27.0135,27.1611,26.8216,26.8756,27.1564,26.8973,27.3187,26.7232,27.0628,26.9273,26.6749,27.46,26.5344,26.9825,26.7621,26.9686,27.2254,27.1772,26.786,27.3141,27.0203,27.4559,26.632,26.9286,27.2531,26.9124,27.0481,26.7478,26.9749,26.7518,27.2842,27.2947,26.9358,27.2023,27.2376,27.0445,27.3573,26.4173,26.7612,27.0969,27.7347,27.5993,26.7967,26.9117,26.8508,27.1783,26.8823,26.7813,26.9103,26.6649,26.9247,27.1348,26.6947,26.8216,26.1955,27.0906,27.5015,26.7529,26.8831,27.0242,27.0521,27.1305,26.7351,26.6755,26.937,26.9181,27.3077,26.9508,26.8123,27.1059,26.6738,27.2893,26.5716,26.7827,26.6499,26.7711,27.5514,26.591,26.9019,26.9643,26.8852,27.4271,26.3072,27.0169,26.9481,27.0467,27.2045,26.8299,26.9541,26.8072,26.6016,27.3963,26.7389,27.0107,27.0762,26.7905,27.5617,26.4089,26.6712,27.2697,27.027,27.3079,26.5062,27.0234,26.6915,27.0968,27.147
3,12:25:15 PM,26.6543,26.9861,26.88,26.7806,27.2077,26.8881,26.5132,27.0265,27.1952,27.3041,26.8297,26.7747,26.7472,27.047,27.2081,26.7483,26.9719,27.1756,26.8966,27.2704,26.7246,27.0606,26.9866,26.7509,27.4667,26.6227,26.9003,26.7823,26.88,27.2344,27.1431,26.846,27.3332,27.0613,27.4578,26.6726,26.9683,27.1606,26.8521,27.1094,26.9002,27.0947,26.7415,27.3135,27.3101,26.9518,27.1644,27.1259,27.1585,27.3301,26.3079,26.6305,27.0733,27.8341,27.5912,26.842,26.8478,26.832,27.2715,26.9686,26.7322,26.9369,26.7481,26.9617,27.257,26.6911,26.8616,26.2597,27.0936,27.4236,26.8177,26.9505,27.0041,27.1031,27.1514,26.8551,26.6851,26.9557,26.9517,27.357,27.0226,26.8113,27.1377,26.7302,27.4231,26.6103,26.801,26.6816,26.7582,27.386,26.6026,26.8039,26.9751,26.9539,27.4412,26.419,27.0306,27.0834,26.9783,27.1252,26.788,26.9759,26.8205,26.5992,27.3111,26.7195,27.0933,27.1901,26.8612,27.6217,26.5799,26.6531,27.1247,27.1386,27.2851,26.4265,27.0771,26.6124,26.9876,27.2869
4,12:25:35 PM,26.8136,26.9418,26.9071,26.7593,27.1614,26.9403,26.6761,27.0013,27.2944,27.2125,26.8026,26.7534,26.7993,27.0227,27.191,26.8152,26.9779,27.1335,26.9286,27.2868,26.5991,27.104,26.9194,26.6687,27.4922,26.5008,27.1125,26.6703,26.9116,27.2035,27.1984,26.8139,27.2587,27.103,27.4934,26.639,26.9967,27.096,26.9509,27.1482,26.7989,27.0138,26.7764,27.2619,27.3334,26.9779,27.2286,27.193,27.1102,27.3645,26.3518,26.6511,27.226,27.8266,27.594,26.8279,26.8533,26.8497,27.2275,26.9866,26.8469,26.9317,26.8014,27.0542,27.2336,26.5824,26.7506,26.1702,27.1778,27.3706,26.7181,26.8782,26.9938,26.9099,27.1497,26.746,26.6503,26.9487,26.9024,27.3663,27.0175,26.8938,27.1279,26.7766,27.4793,26.617,26.7359,26.6522,26.82,27.5152,26.5363,26.8411,27.0416,26.9293,27.4955,26.3557,27.0641,27.0861,26.9944,27.1896,26.7719,26.9912,26.7254,26.7392,27.3509,26.7269,27.0299,27.2151,26.9452,27.6106,26.5952,26.7285,27.3751,27.1276,27.2311,26.4998,27.0064,26.6872,27.1271,27.2365
5,12:25:55 PM,26.8091,26.9744,26.7836,26.7947,27.2321,26.8961,26.5946,27.0492,27.3218,27.4032,26.7652,26.7204,26.7178,27.1253,27.14,26.8114,26.9704,27.0115,26.9898,27.3539,26.7412,26.9957,26.9689,26.7741,27.4863,26.5492,27.0507,26.6937,26.9187,27.2636,27.2293,26.8614,27.2911,27.1378,27.4694,26.7488,27.0225,27.2001,26.9839,27.0258,26.8474,27.0124,26.8871,27.2292,27.4361,26.9127,27.2187,27.2183,27.1203,27.4058,26.2837,26.7122,27.1835,27.8211,27.7851,26.7633,26.946,26.9253,27.1856,26.9874,26.9106,26.9981,26.7626,26.9258,27.2834,26.6523,26.7336,26.2418,27.1591,27.4938,26.7092,26.9756,26.9809,26.9841,27.1194,26.8736,26.7299,26.9217,26.8329,27.3881,26.969,26.9056,27.146,26.723,27.5242,26.552,26.6706,26.6741,26.7664,27.6384,26.6006,26.8551,27.0016,26.9295,27.5634,26.3523,27.1236,27.0502,27.0318,27.0864,26.8779,27.0479,26.8595,26.6987,27.3532,26.7126,26.9812,27.2441,26.8789,27.6012,26.5417,26.6521,27.2068,27.0833,27.2777,26.4956,26.9617,26.7664,27.1549,27.185
6,12:26:15 PM,26.8551,26.9791,26.9685,26.755,27.0924,26.9147,26.6457,26.9996,27.3109,27.2851,26.8663,26.866,26.7822,27.0708,27.2567,26.8162,27.0302,27.0648,26.878,27.2792,26.8637,27.1195,27.0095,26.7531,27.4997,26.5735,27.0999,26.7237,26.9933,27.0935,27.1864,26.8502,27.3021,27.1136,27.5015,26.6547,27.0055,27.2499,27.0028,27.0979,26.8992,27.0759,26.8408,27.2749,27.4387,26.8796,27.1045,27.122,27.2003,27.5528,26.394,26.6838,27.1171,27.9279,27.6843,26.8381,27.0223,26.9476,27.2039,27.0213,26.886,26.9058,26.6664,26.9932,27.327,26.7058,26.7733,26.338,27.2208,27.5763,26.7373,26.9546,26.9591,27.0063,27.1529,26.8869,26.7175,26.9721,27.0277,27.3198,26.9726,26.8734,27.0686,26.7285,27.4436,26.5375,26.8127,26.726,26.7439,27.5659,26.5733,26.9411,27.0132,26.9977,27.5566,26.3761,27.0821,27.0229,26.9358,27.1463,26.749,26.9594,26.7992,26.6799,27.4441,26.6671,27.0809,27.1638,26.9325,27.562,26.4739,26.7296,27.2256,27.07,27.436,26.3925,27.0595,26.7025,27.088,27.2637
7,12:26:35 PM,26.8363,27.0472,26.9807,26.8202,27.2373,26.9342,26.7197,27.0387,27.2661,27.3799,26.7702,26.7597,26.7619,27.0766,27.1255,26.6859,27.0105,27.2213,26.8944,27.3315,26.8697,27.2039,26.9943,26.7029,27.5326,26.5675,27.0804,26.7465,26.9202,27.2147,27.0606,26.8308,27.3445,27.1121,27.5055,26.7096,27.0169,27.0968,27.0014,27.2083,26.8094,27.0531,26.9029,27.3808,27.4196,26.9798,27.169,27.2519,27.0692,27.3676,26.351,26.6618,27.0896,27.8498,27.6711,26.8359,26.9382,26.8237,27.1671,27.0396,26.9056,26.9809,26.6534,27.0294,27.2646,26.6677,26.7536,26.2522,27.1108,27.4142,26.8298,27.0049,27.0575,26.953,27.2019,26.8454,26.7199,26.9977,26.9033,27.277,27.0287,26.9189,27.1825,26.7079,27.3938,26.6402,26.764,26.7279,26.751,27.5878,26.6202,26.8858,27.0528,26.9853,27.6598,26.4504,27.059,27.0232,26.9655,27.1558,26.7579,26.9504,26.8621,26.7282,27.2763,26.837,26.9176,27.1963,26.9144,27.668,26.625,26.6776,27.316,27.131,27.3948,26.45,26.925,26.7317,27.0963,27.2744
8,12:26:55 PM,26.8544,27.0313,26.8607,26.8531,27.2079,26.9143,26.6456,27.1054,27.3564,27.2884,26.8272,26.7466,26.7866,27.024,27.2796,26.8434,27.0022,27.1295,26.917,27.3371,26.7944,27.0923,27.0927,26.6678,27.4142,26.6311,26.9592,26.7348,26.9368,27.2018,27.1614,26.8207,27.3033,27.1687,27.4223,26.5704,26.9455,27.243,27.0105,27.0915,26.8709,27.064,26.8413,27.2758,27.3655,26.9914,27.2457,27.1944,27.1508,27.3991,26.3893,26.7514,27.126,27.9344,27.6114,26.8869,26.8972,26.8744,27.2251,27.0154,26.9265,26.9567,26.6594,26.994,27.3328,26.7439,26.9016,26.2391,27.1483,27.521,26.7335,26.8919,26.9766,26.9014,27.1756,26.8283,26.7689,27.0328,26.8584,27.3109,26.9613,26.7552,27.2267,26.7726,27.4581,26.5623,26.832,26.6973,26.8619,27.584,26.6244,26.8626,27.0903,26.9659,27.4962,26.3411,27.1287,27.0084,26.9647,27.2022,26.8568,26.9328,26.6778,26.6544,27.4065,26.7257,26.966,27.2002,26.9708,27.6929,26.6271,26.6739,27.1521,27.091,27.3002,26.4873,27.071,26.6622,27.116,27.2429
9,12:27:15 PM,26.7773,27.0643,26.874,26.797,27.2499,26.9018,26.5618,27.0991,27.2215,27.3728,26.8482,26.7296,26.8357,27.0545,27.2288,26.8652,27.0674,27.1074,26.9037,27.2721,26.8756,27.1388,27.0388,26.7544,27.4827,26.5375,27.0736,26.7361,26.9824,27.2666,27.1721,26.8913,27.2941,27.1049,27.575,26.7266,27.0884,27.2269,27.1065,27.0755,26.8175,27.1226,26.8487,27.2795,27.5087,26.8875,27.2279,27.3542,27.1094,27.3577,26.399,26.6809,27.1665,27.9624,27.6735,26.8702,26.8086,26.8937,27.2101,27.0793,26.8734,26.9348,26.8143,27.0379,27.3557,26.5578,26.8181,26.1761,27.2456,27.4368,26.7032,26.9603,26.9786,27.0615,27.1049,26.8421,26.7299,26.998,26.945,27.3442,27.0317,26.8806,27.1442,26.7466,27.4148,26.618,26.8799,26.7136,26.8015,27.5998,26.6822,26.9559,27.0706,26.9552,27.6248,26.2918,27.0148,27.0617,26.9606,27.1356,26.8388,26.9621,26.8869,26.651,27.4279,26.6903,26.9804,27.2316,26.9521,27.6268,26.5572,26.6934,27.331,27.1661,27.3831,26.5067,27.0397,26.7567,27.1697,27.3012
10,12:27:35 PM,26.7549,27.0925,26.9072,26.8221,27.1766,26.9278,26.6749,27.0404,27.2742,27.3054,26.8884,26.7557,26.8236,27.0758,27.2575,26.8321,27.0234,27.0602,27.0337,27.3716,26.8716,27.0829,27.0229,26.6758,27.4726,26.5588,27.0873,26.7474,26.9705,27.2996,27.1981,26.8367,27.4547,27.1853,27.5018,26.7496,27.0452,27.206,26.9671,27.163,26.8779,27.0977,26.9011,27.2985,27.4686,27.0352,27.2232,27.2107,27.1196,27.5104,26.4088,26.6338,27.0748,27.8452,27.8122,26.9053,26.9703,26.8792,27.2421,27.0433,26.8897,27.0083,26.7032,26.9948,27.4131,26.7222,26.7315,26.2307,27.1938,27.5228,26.7848,26.9371,27.057,26.9831,27.1572,26.8279,26.7161,26.9329,26.9353,27.3037,27.0074,26.896,27.1396,26.7905,27.4762,26.7384,26.7593,26.8013,26.8894,27.606,26.6461,26.9875,27.1448,26.8658,27.5669,26.3348,27.1136,27.0301,26.9698,27.1709,26.848,26.9774,26.8207,26.7039,27.4126,26.7469,27.0744,27.2396,27.0148,27.6492,26.6455,26.7421,27.3294,27.0865,27.3706,26.5634,27.1063,26.8274,27.0529,27.2781
