Row,Time,Temperature1(Voltage),Temperature2(Voltage),Temperature3(Voltage),Temperature4(Voltage),Temperature5(Voltage),Temperature6(Voltage),Temperature7(Voltage),Temperature8(Voltage),Temperature9(Voltage),Temperature10(Voltage),Temperature11(Voltage),Temperature12(Voltage),Temperature13(Voltage),Temperature14(Voltage),Temperature15(Voltage),Temperature16(Voltage),Temperature17(Voltage),Temperature18(Voltage),Temperature19(Voltage),Temperature20(Voltage),Temperature21(Voltage),Temperature22(Voltage),Temperature23(Voltage),Temperature24(Voltage),Temperature25(Voltage),Temperature26(Voltage),Temperature27(Voltage),Temperature28(Voltage),Temperature29(Voltage),Temperature30(Voltage),Temperature31(Voltage),Temperature32(Voltage),Temperature33(Voltage),Temperature34(Voltage),Temperature35(Voltage),Temperature36(Voltage),Temperature37(Voltage),Temperature38(Voltage),Temperature39(Voltage),Temperature40(Voltage),Temperature41(Voltage),Temperature42(Voltage),Temperature43(Voltage),Temperature44(Voltage),Temperature45(Voltage),Temperature46(Voltage),Temperature47(Voltage),Temperature48(Voltage),Temperature49(Voltage),Temperature50(Voltage),Temperature51(Voltage),Temperature52(Voltage),Temperature53(Voltage),Temperature54(Voltage),Temperature55(Voltage),Temperature56(Voltage),Temperature57(Voltage),Temperature58(Voltage),Temperature59(Voltage),Temperature60(Voltage),Temperature61(Voltage),Temperature62(Voltage),Temperature63(Voltage),Temperature64(Voltage),Temperature65(Voltage),Temperature66(Voltage),Temperature67(Voltage),Temperature68(Voltage),Temperature69(Voltage),Temperature70(Voltage),Temperature71(Voltage),Temperature72(Voltage),Temperature73(Voltage),Temperature74(Voltage),Temperature75(Voltage),Temperature76(Voltage),Temperature77(Voltage),Temperature78(Voltage),Temperature79(Voltage),Temperature80(Voltage),Temperature81(Voltage),Temperature82(Voltage),Temperature83(Voltage),Temperature84(Voltage),Temperature85(Voltage),Temperature86(Voltage),Temperature87(Voltage),Temperature88(Voltage),Temperature89(Voltage),Temperature90(Voltage),Temperature91(Voltage),Temperature92(Voltage),Temperature93(Voltage),Temperature94(Voltage),Temperature95(Voltage),Temperature96(Voltage),Temperature97(Voltage),Temperature98(Voltage),Temperature99(Voltage),Temperature100(Voltage),Temperature101(Voltage),Temperature102(Voltage),Temperature103(Voltage),Temperature104(Voltage),Temperature105(Voltage),Temperature106(Voltage),Temperature107(Voltage),Temperature108(Voltage),Temperature109(Voltage),Temperature110(Voltage),Temperature111(Voltage),Temperature112(Voltage),Temperature113(Voltage),Temperature114(Voltage),Temperature115(Voltage),Temperature116(Voltage),Temperature117(Voltage),Temperature118(Voltage),Temperature119(Voltage),Temperature120(Voltage)
1,12:24:35 PM,26.7762,26.8938,26.8513,26.8118,27.1135,26.8667,26.7211,26.9505,27.1795,27.2046,26.7557,26.7135,26.8192,27.0367,27.1048,26.8526,26.9015,26.9923,26.8484,27.2027,26.8558,26.9531,26.896,26.6925,27.3013,26.6517,27.0921,26.7979,26.8926,27.2022,27.112,26.8772,27.1888,27.1341,27.389,26.6803,27.0124,27.217,27.0517,27.0202,26.8453,27.0316,26.9395,27.2644,27.2529,26.9084,27.1183,27.2417,27.03,27.2064,26.5598,26.7405,27.1465,27.7611,27.5056,26.9448,26.842,26.8421,27.1169,26.9562,26.8037,26.8793,26.7304,26.9558,27.1818,26.7233,26.7793,26.2414,26.9924,27.2601,26.9219,26.9263,26.9542,27.0015,27.0578,26.8065,26.6114,26.8987,26.9653,27.1889,26.9687,26.8743,26.9892,26.7226,27.1878,26.749,26.7966,26.7762,26.8526,27.305,26.6928,26.8181,26.9766,26.8515,27.2627,26.6207,27.0638,27.0132,26.9136,27.1761,26.8387,26.966,26.8543,26.8204,27.2089,26.8019,27.0282,27.0633,26.9496,27.3088,26.7126,26.7687,27.1242,26.9676,27.1576,26.659,26.9665,26.7833,27.1658,27.1395
2,12:24:55 PM,26.8324,26.9726,26.9129,26.9084,27.0154,26.8618,26.7428,26.882,27.1705,27.1884,26.7941,26.8046,26.7681,27.0127,27.1458,26.8942,27.0264,27.0694,26.9015,27.1715,26.823,27.0909,26.9313,26.7617,27.3362,26.6148,27.123,26.8433,26.913,27.1142,27.1793,26.8604,27.2512,27.0405,27.343,26.7855,26.9884,27.2002,26.9912,27.0172,26.9127,26.9977,27.0281,27.2329,27.2251,26.9746,27.1216,27.1722,27.0683,27.2663,26.5346,26.7508,27.1135,27.7773,27.5408,26.9194,26.8868,26.8671,27.1527,26.9854,26.8997,26.8625,26.7658,27.0666,27.1858,26.734,26.7679,26.2706,27.0671,27.262,26.7977,26.8435,27.0029,26.9753,27.1538,26.7684,26.646,26.8306,26.9768,27.2796,27.0084,26.813,26.98,26.7069,27.2539,26.6935,26.7993,26.7263,26.9079,27.3452,26.6077,26.7639,26.9887,26.9492,27.3637,26.5914,27.0263,27.0543,27.0052,27.0663,26.8493,26.9421,26.8421,26.7015,27.2174,26.7978,26.9455,27.0992,26.9791,27.2884,26.7251,26.7338,27.2382,27.0408,27.1698,26.6061,26.9068,26.8023,27.0695,27.0516
3,12:25:15 PM,26.7519,26.9655,26.9313,26.8589,27.1323,26.8734,26.7081,27.0181,27.1818,27.1482,26.7996,26.7434,26.7907,26.9996,27.124,26.8295,27.0142,27.122,26.9605,27.1817,26.8548,27.0211,26.9633,26.8722,27.2528,26.6919,27.0189,26.7837,26.9425,27.1038,27.1417,26.8372,27.2791,27.1387,27.3339,26.708,26.9787,27.127,26.9731,27.0976,26.8873,26.9546,26.9091,27.2338,27.1952,26.9256,27.1561,27.1726,27.1869,27.2536,26.476,26.7409,27.1016,27.7461,27.5272,26.9597,26.9107,26.8925,27.1795,26.9734,26.7648,26.8896,26.7428,26.931,27.1384,26.7396,26.7301,26.2818,27.1112,27.2822,26.9346,26.9996,26.9478,27.0394,27.1103,26.8324,26.6529,26.8449,26.9847,27.2311,26.993,26.8853,26.9322,26.7957,27.2813,26.7166,26.8614,26.8152,26.8863,27.3645,26.6472,26.8698,27.0325,26.9069,27.3159,26.6017,27.0241,27.1078,27.0054,27.1663,26.7613,26.9455,26.8752,26.6763,27.1537,26.8317,27.0318,27.0064,26.9494,27.2824,26.7854,26.7241,27.2213,27.0094,27.1426,26.5489,27.0022,26.7792,27.067,27.1237
4,12:25:35 PM,26.8376,26.9237,26.8824,26.847,27.1004,26.9547,26.7263,27.0015,27.1664,27.2251,26.8182,26.7427,26.7175,27.0149,27.2162,26.8268,27.0128,27.125,26.963,27.19,26.8624,26.9434,26.9316,26.7282,27.2267,26.723,27.0517,26.7831,26.9501,27.161,27.1593,26.9176,27.2209,27.1113,27.3362,26.6952,26.9987,27.1402,26.8746,27.1067,26.9172,27.046,26.9111,27.1978,27.2179,26.9877,27.1752,27.155,27.0166,27.2333,26.474,26.8065,27.0909,27.7535,27.5176,26.9033,26.9381,26.8823,27.2058,26.9583,26.8113,26.934,26.7048,26.9288,27.1526,26.7761,26.765,26.3315,27.0807,27.2976,26.9459,26.9144,26.9624,27.0613,27.072,26.7628,26.7358,26.814,26.9618,27.2393,26.9818,26.898,26.9855,26.7287,27.2502,26.695,26.7585,26.802,26.8008,27.3253,26.6736,26.8395,26.9708,26.9119,27.2636,26.6376,27.1314,27.0608,27.0087,27.0947,26.7399,26.9816,26.7969,26.7664,27.2196,26.8615,27.052,27.1101,27.039,27.3454,26.8086,26.7608,27.1835,27.0546,27.1379,26.624,27.0444,26.7082,27.0872,27.0916
5,12:25:55 PM,26.8134,27.0228,26.8398,26.8691,27.0996,26.9267,26.7451,27.0748,27.1918,27.1918,26.8363,26.7385,26.8201,26.9414,27.1219,26.8164,26.9506,27.1432,26.912,27.1495,26.8683,27.0012,26.9073,26.7568,27.2675,26.6866,27.093,26.7801,26.9699,27.1527,27.126,26.8747,27.2431,27.1351,27.3331,26.7656,27.0037,27.2338,27.0815,27.0884,26.8658,27.001,26.971,27.2011,27.2582,26.8957,27.1801,27.189,27.0441,27.3037,26.4887,26.7322,27.064,27.7553,27.5218,27.0163,26.9229,26.8421,27.089,26.9537,26.8258,26.8753,26.7916,26.9911,27.1552,26.765,26.7617,26.191,27.1534,27.2918,26.9837,27.0554,26.9978,27.0586,27.0601,26.8576,26.6927,26.9237,26.998,27.2203,27.0009,26.9147,27.0216,26.8164,27.2475,26.6972,26.8311,26.8113,26.8759,27.374,26.6182,26.809,27.0553,26.9665,27.2626,26.5511,27.0606,26.9582,26.9846,27.1055,26.8316,27.0433,26.8866,26.8318,27.2363,26.7638,26.9713,27.0591,26.9531,27.2185,26.752,26.7786,27.1339,27.0397,27.1701,26.6423,27.0022,26.7882,27.1091,27.1479
6,12:26:15 PM,26.8004,26.9471,26.8571,26.8714,27.1326,26.9417,26.7032,27.0309,27.2433,27.2218,26.8172,26.7686,26.8407,27.0151,27.1637,26.7535,26.9405,27.1051,26.8973,27.2106,26.8458,26.9138,27.0092,26.7811,27.3634,26.6707,27.1389,26.841,26.9098,27.0771,27.1235,26.8212,27.1935,27.1433,27.4133,26.7598,27.0293,27.1748,27.0238,27.1228,26.848,27.0485,26.9917,27.2813,27.3026,26.986,27.1937,27.2388,26.9977,27.2202,26.5225,26.7253,27.1288,27.7603,27.5475,26.9532,26.8498,26.7883,27.1618,27.011,26.764,26.9081,26.7022,26.9923,27.2294,26.6992,26.7826,26.3336,27.1042,27.3155,26.8721,26.954,26.9725,27.0273,27.1195,26.8092,26.7561,26.8289,26.9732,27.2503,26.9655,26.8316,27.0408,26.8282,27.2201,26.7605,26.8392,26.8319,26.8249,27.3424,26.6693,26.8791,26.9598,26.9507,27.3213,26.5817,27.0654,26.9591,26.9352,27.0668,26.878,27.0067,26.8962,26.6983,27.2653,26.766,27.0208,27.1331,26.8991,27.4174,26.7626,26.8298,27.2183,27.1014,27.158,26.6023,26.986,26.8159,27.0983,27.1717
7,12:26:35 PM,26.8067,26.8545,26.9202,26.8405,27.1311,26.9385,26.7375,27.0546,27.2131,27.1996,26.8065,26.7889,26.8542,27.0305,27.1401,26.8897,26.971,27.141,26.9445,27.1262,26.8845,27.0331,26.9405,26.7259,27.3659,26.7076,27.0735,26.885,27.0137,27.1008,27.1607,26.901,27.2485,27.1824,27.362,26.8004,27.054,27.2103,26.9606,27.0019,26.8978,27.0425,26.9048,27.3274,27.304,26.9635,27.1969,27.1888,27.0408,27.2726,26.6075,26.7238,27.1576,27.8226,27.5117,26.8542,26.9809,26.922,27.2142,27.0168,26.8205,26.8962,26.7235,26.9869,27.1906,26.8321,26.8408,26.3003,26.995,27.2934,26.9563,26.9355,27.0148,27.0447,27.1926,26.8138,26.7206,26.9086,26.9192,27.3056,26.9837,26.9506,27.0505,26.7679,27.2481,26.7039,26.9517,26.8598,26.8924,27.3007,26.5984,26.8045,27.0792,26.9938,27.3427,26.5467,27.1199,27.0498,27.0797,27.1326,26.773,26.9618,26.9371,26.7165,27.2548,26.8682,27.0118,27.1148,26.9411,27.3711,26.802,26.7933,27.2403,27.0395,27.194,26.6629,26.9636,26.7579,27.0881,27.1892
8,12:26:55 PM,26.7809,27.0336,26.8525,26.8718,27.1999,26.927,26.7202,27.0038,27.1224,27.252,26.8446,26.8077,26.8366,26.9981,27.1425,26.8309,27.0025,27.1428,26.9268,27.1847,26.8244,27.0047,26.9866,26.7406,27.3697,26.6558,27.1234,26.8349,26.9511,27.2249,27.1911,26.9399,27.2156,27.2228,27.4183,26.8011,27.0626,27.2208,27.0279,27.0569,26.9072,27.0028,26.9755,27.2751,27.3423,26.9584,27.0986,27.1424,27.0332,27.2658,26.6147,26.77,27.0474,27.7545,27.6121,26.8498,26.8992,26.9071,27.2818,27.0357,26.8832,27.0132,26.722,27.0009,27.1836,26.7158,26.7975,26.2486,27.0993,27.4063,26.9208,26.9864,27.0073,27.0296,27.0959,26.8568,26.7716,26.8946,26.9834,27.2317,26.9414,26.8899,27.0236,26.899,27.3152,26.7537,26.861,26.7965,26.9161,27.379,26.6952,26.8468,26.9345,26.9318,27.3663,26.5724,27.118,26.9968,26.9928,27.0313,26.8088,26.9754,26.844,26.7127,27.2205,26.8348,26.9189,27.1163,26.9363,27.3384,26.7986,26.7354,27.2157,27.0781,27.1959,26.5799,26.9893,26.8511,27.1116,27.136
9,12:27:15 PM,26.8315,26.9451,26.9816,26.9169,27.1381,26.9265,26.7238,27.0201,27.2334,27.2973,26.9013,26.7849,26.7668,27.0491,27.1955,26.804,27.025,27.1647,27.0104,27.2437,26.9157,27.0983,26.8842,26.76,27.3375,26.6297,27.1196,26.9114,26.9265,27.1951,27.1748,26.9144,27.2484,27.218,27.4282,26.8425,27.0766,27.2371,27.0238,27.1045,26.934,27.0266,26.9353,27.2646,27.313,26.945,27.2377,27.1664,27.061,27.2528,26.5174,26.7893,27.1097,27.827,27.6289,26.9065,26.8706,26.9809,27.2324,27.0103,26.9058,26.9471,26.744,27.0485,27.1608,26.7113,26.8536,26.3234,27.072,27.3541,26.9325,27.0159,26.9947,26.9917,27.1693,26.8397,26.7025,26.9148,27.022,27.2622,26.9661,26.9025,27.0709,26.767,27.2495,26.7494,26.8424,26.8167,26.8647,27.3282,26.627,26.9121,26.9538,26.9936,27.2901,26.5895,27.1053,26.9884,26.9544,27.166,26.7846,26.9669,26.8924,26.7838,27.2409,26.7501,27.0315,27.1555,27.026,27.3448,26.8328,26.8379,27.1854,27.1469,27.233,26.6885,27.0842,26.76,27.1569,27.1206
10,12:27:35 PM,26.8483,26.989,26.9395,26.9158,27.1812,26.9653,26.7918,27.0079,27.2111,27.2064,26.8534,26.8221,26.8719,27.0528,27.1717,26.9226,27.0276,27.056,26.9331,27.2664,26.9134,27.0199,26.9747,26.6474,27.3367,26.7485,27.117,26.8595,26.9981,27.1336,27.2045,26.8891,27.3395,27.1011,27.4387,26.8077,27.0208,27.2062,26.9967,27.0715,26.8443,27.1233,26.9132,27.2518,27.3069,27.0136,27.2323,27.2235,27.0909,27.3236,26.5832,26.7769,27.0475,27.8437,27.5541,26.8886,26.8769,26.9757,27.1934,27.0799,26.8877,26.9407,26.733,26.9907,27.0984,26.8366,26.7895,26.2973,27.0983,27.2632,26.9561,27.0203,27.0025,26.975,27.1477,26.8647,26.6814,26.9549,27.0228,27.2889,27.0646,26.9852,27.0326,26.8557,27.2617,26.7506,26.9182,26.806,26.8169,27.3618,26.7233,26.9088,27.0066,26.959,27.3088,26.6065,27.068,27.053,26.9285,27.1494,26.8101,26.9749,26.957,26.8517,27.2398,26.8322,27.0684,27.2077,27.0003,27.4101,26.7626,26.8597,27.2234,27.1092,27.2464,26.6696,27.0108,26.8173,27.1192,27.1028
